ABSORBED WATER SUMMARY (Summed)
-------------------------------
Absorbed Iteration 382 total: 7.448809
Absorbed Iteration 383 total: 7.076364
Absorbed Iteration 384 total: 6.722541
Absorbed Iteration 385 total: 6.386410
Absorbed Iteration 386 total: 6.067086
Absorbed Iteration 387 total: 5.763729
Absorbed Iteration 388 total: 5.475539
Absorbed Iteration 389 total: 5.201759
Absorbed Iteration 390 total: 4.941669
Absorbed Iteration 391 total: 4.694583
Absorbed Iteration 392 total: 4.459852
Absorbed Iteration 393 total: 4.236857
Absorbed Iteration 394 total: 4.025012
Absorbed Iteration 395 total: 3.823760
Absorbed Iteration 396 total: 3.632571
Absorbed Iteration 397 total: 3.450941
Absorbed Iteration 398 total: 3.278392
Absorbed Iteration 399 total: 3.114471
Absorbed Iteration 400 total: 2.958747
Absorbed Iteration 401 total: 2.810808
Absorbed Iteration 402 total: 2.670267
Absorbed Iteration 403 total: 2.536753
Absorbed Iteration 404 total: 2.409914
Absorbed Iteration 405 total: 2.289418
Absorbed Iteration 406 total: 2.174946
Absorbed Iteration 407 total: 2.066198
Absorbed Iteration 408 total: 1.962888
Absorbed Iteration 409 total: 1.864743
Absorbed Iteration 410 total: 1.771505
Absorbed Iteration 411 total: 1.682930
Absorbed Iteration 412 total: 1.598783
Absorbed Iteration 413 total: 1.518843
Absorbed Iteration 414 total: 1.442901
Absorbed Iteration 415 total: 1.370755
Absorbed Iteration 416 total: 1.302217
Absorbed Iteration 417 total: 1.237106
Absorbed Iteration 418 total: 1.175251
Absorbed Iteration 419 total: 1.116488
Absorbed Iteration 420 total: 1.060663
Absorbed Iteration 421 total: 1.007630
Absorbed Iteration 422 total: 0.957248
Absorbed Iteration 423 total: 0.909386
Absorbed Iteration 424 total: 0.863916
Absorbed Iteration 425 total: 0.820720
Absorbed Iteration 426 total: 0.779684
Absorbed Iteration 427 total: 0.740700
Absorbed Iteration 428 total: 0.703665
Absorbed Iteration 429 total: 0.668481
Absorbed Iteration 430 total: 0.635057
Absorbed Iteration 431 total: 0.603304
Absorbed Iteration 432 total: 0.573139
Absorbed Iteration 433 total: 0.544482
Absorbed Iteration 434 total: 0.517258
Absorbed Iteration 435 total: 0.491395
Absorbed Iteration 436 total: 0.466825
Absorbed Iteration 437 total: 0.443484
Absorbed Iteration 438 total: 0.421309
Absorbed Iteration 439 total: 0.400244
Absorbed Iteration 440 total: 0.380232
Absorbed Iteration 441 total: 0.361220
Absorbed Iteration 442 total: 0.343159
Absorbed Iteration 443 total: 0.326001
Absorbed Iteration 444 total: 0.309701
Absorbed Iteration 445 total: 0.294216
Absorbed Iteration 446 total: 0.279505
Absorbed Iteration 447 total: 0.265530
Absorbed Iteration 448 total: 0.252253
Absorbed Iteration 449 total: 0.239641
Absorbed Iteration 450 total: 0.227659
Absorbed Iteration 451 total: 0.216276
Absorbed Iteration 452 total: 0.205462
Absorbed Iteration 453 total: 0.195189
Absorbed Iteration 454 total: 0.185429
Absorbed Iteration 455 total: 0.176158
Absorbed Iteration 456 total: 0.167350
Absorbed Iteration 457 total: 0.158982
Absorbed Iteration 458 total: 0.151033
Absorbed Iteration 459 total: 0.143482
Absorbed Iteration 460 total: 0.136308
Absorbed Iteration 461 total: 0.129492
Absorbed Iteration 462 total: 0.123018
Absorbed Iteration 463 total: 0.116867
Absorbed Iteration 464 total: 0.111023
Absorbed Iteration 465 total: 0.105472
Absorbed Iteration 466 total: 0.100199
Absorbed Iteration 467 total: 0.095189
Absorbed Iteration 468 total: 0.090429
Absorbed Iteration 469 total: 0.085908
Absorbed Iteration 470 total: 0.081612
Absorbed Iteration 471 total: 0.077532
Absorbed Iteration 472 total: 0.073655
Absorbed Iteration 473 total: 0.069972
Absorbed Iteration 474 total: 0.066474
Absorbed Iteration 475 total: 0.063150
Absorbed Iteration 476 total: 0.059993
Absorbed Iteration 477 total: 0.056993
Absorbed Iteration 478 total: 0.054143
Absorbed Iteration 479 total: 0.051436
Absorbed Iteration 480 total: 0.048864
Absorbed Iteration 481 total: 0.046421
Absorbed Iteration 482 total: 0.044100
Absorbed Iteration 483 total: 0.041895
Absorbed Iteration 484 total: 0.039800
Absorbed Iteration 485 total: 0.037810
Absorbed Iteration 486 total: 0.035920
Absorbed Iteration 487 total: 0.034124
Absorbed Iteration 488 total: 0.032418
Absorbed Iteration 489 total: 0.030797
Absorbed Iteration 490 total: 0.029257
Absorbed Iteration 491 total: 0.027794
Absorbed Iteration 492 total: 0.026404
Absorbed Iteration 493 total: 0.025084
Absorbed Iteration 494 total: 0.023830
Absorbed Iteration 495 total: 0.022638
Absorbed Iteration 496 total: 0.021506
Absorbed Iteration 497 total: 0.020431
Absorbed Iteration 498 total: 0.019410
Absorbed Iteration 499 total: 0.018439
Absorbed Iteration 500 total: 0.017517
Absorbed Iteration 501 total: 0.016641
Absorbed Iteration 502 total: 0.015809
Absorbed Iteration 503 total: 0.015019
Absorbed Iteration 504 total: 0.014268
Absorbed Iteration 505 total: 0.013554
Absorbed Iteration 506 total: 0.012877
Absorbed Iteration 507 total: 0.012233
Absorbed Iteration 508 total: 0.011621
Absorbed Iteration 509 total: 0.011040
Absorbed Iteration 510 total: 0.010488
Absorbed Iteration 511 total: 0.009964
Absorbed Iteration 512 total: 0.009466
Absorbed Iteration 513 total: 0.008992
Absorbed Iteration 514 total: 0.008543
Absorbed Iteration 515 total: 0.008116
Absorbed Iteration 516 total: 0.007710
Absorbed Iteration 517 total: 0.007324
Absorbed Iteration 518 total: 0.006958
Absorbed Iteration 519 total: 0.006610
Absorbed Iteration 520 total: 0.006280
Absorbed Iteration 521 total: 0.005966
Absorbed Iteration 522 total: 0.005667
Absorbed Iteration 523 total: 0.005384
Absorbed Iteration 524 total: 0.005115
Absorbed Iteration 525 total: 0.004859
Absorbed Iteration 526 total: 0.004616
Absorbed Iteration 527 total: 0.004385
Absorbed Iteration 528 total: 0.004166
Absorbed Iteration 529 total: 0.003958
Absorbed Iteration 530 total: 0.003760
Absorbed Iteration 531 total: 0.003572
Absorbed Iteration 532 total: 0.003393
Absorbed Iteration 533 total: 0.003224
Absorbed Iteration 534 total: 0.003062
Absorbed Iteration 535 total: 0.002909
Absorbed Iteration 536 total: 0.002764
Absorbed Iteration 537 total: 0.002626
Absorbed Iteration 538 total: 0.002494
Absorbed Iteration 539 total: 0.002370
Absorbed Iteration 540 total: 0.002251
Absorbed Iteration 541 total: 0.002139
Absorbed Iteration 542 total: 0.002032
Absorbed Iteration 543 total: 0.001930
Absorbed Iteration 544 total: 0.001834
Absorbed Iteration 545 total: 0.001742
Absorbed Iteration 546 total: 0.001655
Absorbed Iteration 547 total: 0.001572
Absorbed Iteration 548 total: 0.001493
Absorbed Iteration 549 total: 0.001419
Absorbed Iteration 550 total: 0.001348
Absorbed Iteration 551 total: 0.001280
Absorbed Iteration 552 total: 0.001216
Absorbed Iteration 553 total: 0.001156
Absorbed Iteration 554 total: 0.001098
Absorbed Iteration 555 total: 0.001043
Absorbed Iteration 556 total: 0.000991
Absorbed Iteration 557 total: 0.000941
Absorbed Iteration 558 total: 0.000894
Absorbed Iteration 559 total: 0.000849
Absorbed Iteration 560 total: 0.000807
Absorbed Iteration 561 total: 0.000767
Absorbed Iteration 562 total: 0.000728
Absorbed Iteration 563 total: 0.000692
Absorbed Iteration 564 total: 0.000657
Absorbed Iteration 565 total: 0.000624
Absorbed Iteration 566 total: 0.000593
Absorbed Iteration 567 total: 0.000564
Absorbed Iteration 568 total: 0.000535
Absorbed Iteration 569 total: 0.000509
Absorbed Iteration 570 total: 0.000483
Absorbed Iteration 571 total: 0.000459
Absorbed Iteration 572 total: 0.000436
Absorbed Iteration 573 total: 0.000414
Absorbed Iteration 574 total: 0.000394
Absorbed Iteration 575 total: 0.000374
Absorbed Iteration 576 total: 0.000355
Absorbed Iteration 577 total: 0.000337
Absorbed Iteration 578 total: 0.000321
Absorbed Iteration 579 total: 0.000305
Absorbed Iteration 580 total: 0.000289
Absorbed Iteration 581 total: 0.000275
Absorbed Iteration 582 total: 0.000261
Absorbed Iteration 583 total: 0.000248
Absorbed Iteration 584 total: 0.000236
Absorbed Iteration 585 total: 0.000224
Absorbed Iteration 586 total: 0.000213
Absorbed Iteration 587 total: 0.000202
Absorbed Iteration 588 total: 0.000192
Absorbed Iteration 589 total: 0.000182
Absorbed Iteration 590 total: 0.000173
Absorbed Iteration 591 total: 0.000165
Absorbed Iteration 592 total: 0.000156
Absorbed Iteration 593 total: 0.000149
Absorbed Iteration 594 total: 0.000141
Absorbed Iteration 595 total: 0.000134
Absorbed Iteration 596 total: 0.000127
Absorbed Iteration 597 total: 0.000121
Absorbed Iteration 598 total: 0.000115
Absorbed Iteration 599 total: 0.000109
Absorbed Iteration 600 total: 0.000104
Absorbed Iteration 601 total: 0.000099
Absorbed Iteration 602 total: 0.000094
Absorbed Iteration 603 total: 0.000089
Absorbed Iteration 604 total: 0.000084
Absorbed Iteration 605 total: 0.000080
Absorbed Iteration 606 total: 0.000076
Absorbed Iteration 607 total: 0.000072
Absorbed Iteration 608 total: 0.000069
Absorbed Iteration 609 total: 0.000065
Absorbed Iteration 610 total: 0.000062
Absorbed Iteration 611 total: 0.000059
Absorbed Iteration 612 total: 0.000056
Absorbed Iteration 613 total: 0.000053
Absorbed Iteration 614 total: 0.000051
Absorbed Iteration 615 total: 0.000048
Absorbed Iteration 616 total: 0.000046
Absorbed Iteration 617 total: 0.000043
Absorbed Iteration 618 total: 0.000041
Absorbed Iteration 619 total: 0.000039
Absorbed Iteration 620 total: 0.000037
Absorbed Iteration 621 total: 0.000035
Absorbed Iteration 622 total: 0.000034
Absorbed Iteration 623 total: 0.000032
Absorbed Iteration 624 total: 0.000030
Absorbed Iteration 625 total: 0.000029
Absorbed Iteration 626 total: 0.000027
Absorbed Iteration 627 total: 0.000026
Absorbed Iteration 628 total: 0.000025
Absorbed Iteration 629 total: 0.000023
Absorbed Iteration 630 total: 0.000022
Absorbed Iteration 631 total: 0.000021
Absorbed Iteration 632 total: 0.000020
Absorbed Iteration 633 total: 0.000019
Absorbed Iteration 634 total: 0.000018
Absorbed Iteration 635 total: 0.000017
Absorbed Iteration 636 total: 0.000016
Absorbed Iteration 637 total: 0.000016
Absorbed Iteration 638 total: 0.000015
Absorbed Iteration 639 total: 0.000014
Absorbed Iteration 640 total: 0.000013
Absorbed Iteration 641 total: 0.000013
Absorbed Iteration 642 total: 0.000012
Absorbed Iteration 643 total: 0.000011
Absorbed Iteration 644 total: 0.000011
Absorbed Iteration 645 total: 0.000010
Absorbed Iteration 646 total: 0.000010
Absorbed Iteration 647 total: 0.000009
Absorbed Iteration 648 total: 0.000009
Absorbed Iteration 649 total: 0.000008
Absorbed Iteration 650 total: 0.000008
Absorbed Iteration 651 total: 0.000008
Absorbed Iteration 652 total: 0.000007
Absorbed Iteration 653 total: 0.000007
Absorbed Iteration 654 total: 0.000006
Absorbed Iteration 655 total: 0.000006
Absorbed Iteration 656 total: 0.000006
Absorbed Iteration 657 total: 0.000006
Absorbed Iteration 658 total: 0.000005
Absorbed Iteration 659 total: 0.000005
Absorbed Iteration 660 total: 0.000005
Absorbed Iteration 661 total: 0.000005
Absorbed Iteration 662 total: 0.000004
Absorbed Iteration 663 total: 0.000004
Absorbed Iteration 664 total: 0.000004
Absorbed Iteration 665 total: 0.000004
Absorbed Iteration 666 total: 0.000004
Absorbed Iteration 667 total: 0.000003
Absorbed Iteration 668 total: 0.000003
Absorbed Iteration 669 total: 0.000003
